SWV ITM Data Console - ITM Port: 0
2C device is ready.
MPU6050 is ready!
Calibration Complete!
Accel Offsets: X = -5674, Y = 614, Z = 11746
Gyro Offsets: X = -726, Y = -452, Z = -158
ax, ay, az, gx, gy, gz
0.2396, -0.1434, 0.2914, -6.9466, -40.7863, -20.6565
0.2814, -0.0992, 0.3182, -5.6641, -43.6107, -14.2672
0.2936, -0.0636, 0.3436, -1.6336, -51.0916, -12.1450
0.3195, -0.0502, 0.3632, 5.3817, -62.0153, -31.6260
0.3129, -0.0399, 0.3297, 16.3740, -60.1832, -33.7634
0.3314, -0.0323, 0.2225, 18.1832, -50.6260, -35.7328
0.3549, -0.0441, 0.1373, 10.3893, -33.5191, -27.9313
0.3671, -0.0702, 0.0594, 3.7557, -14.1756, -14.2443
0.3668, -0.1093, 0.0160, -2.4046, -0.5725, -4.0840
0.3673, -0.1581, -0.0177, -17.0382, 7.2061, -2.8015
0.3842, -0.1749, -0.0555, -35.5038, 13.5954, -0.0992
0.4020, -0.1495, -0.0785, -51.1374, 14.5649, 1.6336
